16/11/2011;BATTANT + HOQUETS 
26/11/2011;FESTIVAL DU FILM OFF : ZEP + Mc Métis
01/12/2011;MAYO + MOLLY'S
18/01/2012;CERCUEIL + UNISON
20/01/2012;DSC: Sortie d'album
27/01/2012;FESTIVAL TENDANCE: THE SHOES + Dj Klektik
10/02/2012;CHLORINE FREE + invités
15/02/2012;NUITS DE L'ALLIGATOR : MAMA ROSIN + Dirty Beaches + Lewis Floyd Henry
28/02/2012;IC MUSIC: WE HAVE BAND + Sobo
02/03/2012;International Zulu Party : DIAZ CONNECTION + Dub Fear
11/03/2012;SALLIE FORD & THE SOUND OUTSIDE + Moïraa
15/03/2012;FRANCOIS AND THE ATLAS MOUNTAINS + Petit Fantôme
21/03/2012;SHIKO SHIKO + The Beyonders
23/03/2012;MUSTANG + Martin Angor
26/03/2012;LES FEMMES S'EN MELENT: MY BRIGHTEST DIAMOND + Ladylike Lily
31/03/2012;RETRO EXPERIENCE, Amiens dans les années 50
05/04/2012;IC Music: GHOSTPOET + THEESatisfaction
06/04/2012;YES S CLUB + GDERWS + HEET SEAS : au profit de l'UNICEF
12/04/2012;LE VILLAGE DES PETITES BOUCLES
13/04/2012;LE VILLAGE DES PETITES BOUCLES
14/04/2012;IC MUSIC: MINA TINDLE + Liz Green
17/04/2012;Bruits de Lune : Gulcher + Wolves & Moons
18/04/2012;VIOLENT SCAREDY CATS + Elegant Fall + Switch
19/04/2012;STUCK IN THE SOUND + Main Square
20/04/2012;GIMME SOMME PUNK 2
05/05/2012;TWO FOLKS IN A GROOVY BOX + Funky Club de Rouen
16/05/2012;Sortie d'album THE NAME + CHRISTINE AND THE QUEENS + MUSEUM
22/05/2012;BRUITS DE LUNE : CORBIER + RED FISH DUB SYNDROM + PM CÜRSED BEAT
23/05/2012;BRUITS DE LUNE
24/05/2012;BRUITS DE LUNE AU BDM
24/05/2012;10 Ans BDL > IC Music > LA FEMME + Little Trouble Kids
25/05/2012;BRUITS DE LUNE > APPART
25/05/2012;10 ans BDL > IC Music > BALTHAZAR + My Humble Attempt
30/05/2012;KID BOMBARDOS + The Void
31/05/2012;DIALOGUE D'EXILES
02/06/2012;GENERAL LEE + MEMORIES OF A DEAD MAN + ANORAK
15/06/2012;IC Music: AMENRA + Drums are for Parades
15/09/2012;CROCODILES + Soft Crayon
18/09/2012;FESTIVAL d'AMIENS - MUSIQUES DE JAZZ et D'AILLEURS : MIX UP MAROC
19/09/2012;FESTIVAL d'AMIENS - MUSIQUES DE JAZZ et D'AILLEURS : PEIO + MIX UP MAROC
20/09/2012;FESTIVAL d'AMIENS - MUSIQUES DE JAZZ et D'AILLEURS : EKLEZ + AZIZ SAHMAOUI
21/09/2012;FESTIVAL d'AMIENS - MUSIQUES DE JAZZ et D'AILLEURS : MEHDI K-LIBRE + MOTIONLESS + ORANGE BLOSSOM
22/09/2012;FESTIVAL d'AMIENS - MUSIQUES DE JAZZ et D'AILLEURS : HEET SEAS + ORANGE BLOSSOM
25/09/2012;IC Music: BRETON + NZCA/LINES
04/10/2012;Concert de rentrée des étudiants: SCHOOL IS COOL + The Void
13/10/2012;NUIT BLANCHE 2012
18/10/2012;IC Music: STIG OF THE DUMP + CHAMPAGNE CHAMPAGNE
20/10/2012;Ic Music: MAÏA VIDAL + Rebecca Mayes
24/10/2012;THE BEWITCHED HANDS + Peter Kernel
03/11/2012;DTC Prod : DRINKER CREW + Shaheed
08/11/2012;IC Music: EWERT AND THE TWO DRAGONS + BRNS
13/11/2012;PICARDIE MOUV' : TY SEGALL + K-HOLES + ROLLIN'BUNKERS
21/11/2012;IC Music: ABSYNTHE MINDED + SX
23/11/2012;SANDRA NKAKE + Mariama
01/12/2012;LUTTE CONTRE LE SIDA: CAPSULA + Magic Hawaï
02/12/2012;Journées Nationales Electroacoustiques : ACOUSMARAVE
11/12/2012;IC Music: DARK DARK DARK + Love Like Birds
14/12/2012;25 ANS DU GRAND WAZOO
20/12/2012;BLACK & WHITE CHRISTMAS PARTY
12/01/2013;GONZAÏ #1: LA TERRE TREMBLE + Headwar
15/01/2013;BRUITS DE LUNE: JESSICA93 + LIRO MC
17/01/2013;THE SWINGING DICE + JAKE CALYPSO AND HIS RED HOT
